,bioprocess_count,genes_related
PEPTIDOLYSIS,49,"['TGFB1', 'CAMP', 'ELANE', 'ELANE', 'ELANE', 'SCNN1B', 'CLCA1', 'TNF', 'INS', 'CCL2', 'CAT', 'DEFB4A', 'CTSG', 'CTSG', 'IL2', 'IL4', 'PRTN3', 'PRTN3', 'PRTN3', 'C3', 'REN', 'REN', 'EGFR', 'NOD2', 'F2', 'PRSS1', 'NLRP3', 'IL6', 'VEGFA', 'TH', 'MMP9', 'MMP9', 'ESR1', 'RELA', 'CISH', 'MMP2', 'CASP3', 'CASP3', 'EGF', 'HGS', 'SST', 'CD40', 'PSMB6', 'CTLA4', 'PPIB', 'PGR', 'TG', 'ACE', 'ACE']"
AKT SIGNAL TRANSDUCTION,49,"['TGFB1', 'TNF', 'TNF', 'IL1B', 'CA2', 'LEP', 'TLR4', 'INS', 'CCL2', 'BPI', 'AKT1', 'AKT1', 'AKT1', 'SLURP1', 'AHSA1', 'IL2', 'IL4', 'PI3', 'C3', 'EGFR', 'IL6', 'VEGFA', 'MAPK1', 'MMP9', 'AR', 'MAPK8', 'CDKN1A', 'STAT3', 'IL10', 'WDTC1', 'PIK3CA', 'PIK3CA', 'MAPK3', 'CASP3', 'BCL2', 'MTOR', 'RHO', 'EGF', 'CCND1', 'ITGAM', 'CD40', 'CD44', 'TCEAL1', 'PSMB6', 'PPIB', 'PGR', 'HIF1A', 'PTEN', 'PTEN']"
MEMORY,49,"['TNF', 'CA2', 'INS', 'FAS', 'CCL2', 'IFNA1', 'SLURP1', 'IL2', 'IL4', 'IL5', 'TTR', 'SLC26A4', 'REN', 'PPARG', 'NOD2', 'NOS2', 'IL6', 'TH', 'TH', 'CD4', 'FOS', 'POMC', 'MMP9', 'AR', 'MAPK8', 'PTGS2', 'PTGS2', 'STAT3', 'IL10', 'CISH', 'CP', 'CASP3', 'BCL2', 'MTOR', 'HGS', 'ITGAM', 'SST', 'CD40', 'CD44', 'GC', 'CCK', 'PSMB6', 'CTLA4', 'CREBBP', 'PPIB', 'PGR', 'TG', 'ACE', 'PTEN']"
EMT,47,"['TGFB1', 'TGFB1', 'TNF', 'CA2', 'CXCR1', 'CXCL8', 'CXCR2', 'MUC4', 'AKT1', 'SLURP1', 'AHSA1', 'TIMP1', 'NR3C1', 'PI3', 'KCNN4', 'EGFR', 'NOD2', 'SMAD3', 'IL6', 'VEGFA', 'TP53', 'MAPK1', 'MMP9', 'AR', 'CDKN1A', 'RELA', 'PTGS2', 'STAT3', 'CISH', 'PIK3CA', 'MAPK3', 'BCL2', 'MTOR', 'EGF', 'CCND1', 'CD44', 'TCEAL1', 'CTLA4', 'CREBBP', 'PPIB', 'IFNG', 'BBS9', 'KIT', 'CYP2E1', 'HIF1A', 'HIF1A', 'PTEN']"
AER,47,"['TNF', 'MUC5B', 'CXCL8', 'INS', 'FAS', 'CAT', 'IFNA1', 'HP', 'MAL', 'AHSA1', 'ATP12A', 'TTR', 'PI3', 'SLC12A2', 'NOD2', 'F2', 'NOS2', 'NLRP3', 'TP53', 'MAPK1', 'TH', 'FOS', 'POMC', 'MAPK8', 'CDKN1A', 'PTGS2', 'BAX', 'IL10', 'CISH', 'MUC7', 'PTS', 'CP', 'CASP3', 'BCL2', 'PPARA', 'HGS', 'ITGAM', 'CD40', 'AHR', 'TCEAL1', 'GC', 'CTLA4', 'CREBBP', 'SLC17A5', 'PPIB', 'BBS9', 'PGR']"
CELL EXPANSION,46,"['TGFB1', 'SLPI', 'IL1B', 'INS', 'CAT', 'MUC4', 'AKT1', 'SLURP1', 'AHSA1', 'IL2', 'IL4', 'IL5', 'TTR', 'PI3', 'EGFR', 'IL6', 'VEGFA', 'TP53', 'MAPK1', 'TH', 'CD4', 'MMP9', 'AR', 'MAPK8', 'CDKN1A', 'ESR1', 'PTGS2', 'STAT3', 'IL10', 'CISH', 'MMP2', 'PIK3CA', 'MAPK3', 'MTOR', 'RHO', 'EGF', 'CCND1', 'HGS', 'AHR', 'TCEAL1', 'CCK', 'PSMB6', 'PPIB', 'IFNG', 'KIT', 'PTEN']"
IMPORT INTO CELL,46,"['CAMP', 'ELANE', 'TNF', 'CA2', 'LEP', 'INS', 'FAS', 'CAT', 'HP', 'SERPINA1', 'AKT1', 'SLURP1', 'IL4', 'IL5', 'TTR', 'SLC26A4', 'REN', 'EGFR', 'ALB', 'NOD2', 'NLRP3', 'MAPK1', 'TH', 'CD4', 'PTGS2', 'STAT3', 'CISH', 'MUC7', 'MMP2', 'PIK3CA', 'MAPK3', 'PTS', 'CP', 'MTOR', 'EGF', 'ABCB1', 'HGS', 'ITGAM', 'SST', 'PSMB6', 'CTLA4', 'CREBBP', 'PPIB', 'KIT', 'HIF1A', 'TG']"
CHEMOTAXIS,46,"['ELANE', 'TNF', 'CA2', 'CXCR1', 'CXCR1', 'CXCL8', 'CXCL8', 'TLR4', 'INS', 'CCL2', 'CCL2', 'IFNA1', 'DEFB1', 'DEFB4A', 'DEFB4A', 'CXCR2', 'CXCR2', 'CXCR2', 'AKT1', 'AHSA1', 'IL2', 'IL4', 'PI3', 'C3', 'NOD2', 'IL6', 'MAPK1', 'MAPK1', 'TH', 'CD4', 'MAPK8', 'IL10', 'WDTC1', 'CISH', 'PIK3CA', 'CP', 'MTOR', 'RHO', 'EGF', 'ITGAM', 'CD40', 'PSMB6', 'CTLA4', 'PPIB', 'KIT', 'PTEN']"
ANTI-APOPTOSIS,46,"['LEP', 'TLR4', 'FAS', 'CAT', 'VIP', 'AKT1', 'AKT1', 'AKT1', 'TIMP1', 'MPO', 'IL2', 'IL4', 'IL5', 'PI3', 'EGFR', 'EGFR', 'EGFR', 'ALB', 'ANXA5', 'SMAD3', 'IL6', 'VEGFA', 'TP53', 'TP53', 'MMP9', 'MAPK8', 'CDKN1A', 'RELA', 'RELA', 'BAX', 'STAT3', 'IL10', 'PIK3CA', 'CASP3', 'CASP3', 'BCL2', 'BCL2', 'BCL2', 'BCL2', 'BCL2', 'BCL2', 'MTOR', 'CD44', 'PPIB', 'HIF1A', 'PTEN']"
PHASE II METABOLISM,45,"['TGFB1', 'ELANE', 'TNF', 'IL1B', 'CXCL8', 'TLR4', 'INS', 'CAT', 'IFNA1', 'DEFB4A', 'HP', 'MUC4', 'AKT1', 'MUC5AC', 'SLURP1', 'IL4', 'IL5', 'PI3', 'C3', 'SLC26A4', 'ALB', 'NOD2', 'NOS2', 'IL6', 'MAPK1', 'TH', 'CD4', 'FOS', 'POMC', 'AR', 'PTGS2', 'CISH', 'PIK3CA', 'PTS', 'CP', 'EGF', 'HGS', 'ITGAM', 'CD44', 'CTLA4', 'CREBBP', 'SLC17A5', 'PPIB', 'SOD2', 'TG']"
PROTEIN ANABOLISM,43,"['TNF', 'CA2', 'CXCL8', 'TLR4', 'INS', 'FAS', 'CAT', 'IFNA1', 'AKT1', 'AKT1', 'SLURP1', 'ATP12A', 'IL4', 'IL5', 'CRP', 'GUCY2C', 'SLC26A4', 'REN', 'EGFR', 'EGFR', 'ALB', 'NLRP3', 'IL6', 'TP53', 'MAPK1', 'TH', 'AR', 'CDKN1A', 'CISH', 'PIK3CA', 'MAPK3', 'CP', 'MTOR', 'CCND1', 'HGS', 'PSMB6', 'CREBBP', 'SLC17A5', 'PPIB', 'PGR', 'CRK', 'HIF1A', 'PTEN']"
ARREST OF CELL CYCLE PROGRESSION,42,"['TGFB1', 'TNF', 'CXCL8', 'INS', 'CCL2', 'IFNA1', 'AKT1', 'SLURP1', 'AHSA1', 'IL4', 'EGFR', 'PPARG', 'NOS2', 'SMAD3', 'TP53', 'TP53', 'TP53', 'MAPK1', 'CD4', 'MMP9', 'AR', 'CDKN1A', 'CDKN1A', 'CDKN1A', 'RELA', 'PTGS2', 'BAX', 'STAT3', 'IL10', 'PIK3CA', 'MAPK3', 'CASP3', 'BCL2', 'MTOR', 'MTOR', 'CCND1', 'PPARA', 'TCEAL1', 'PPIB', 'SOD2', 'IFNG', 'KIT']"
CELL MIGRATION,41,"['TGFB1', 'TGFB1', 'TNF', 'CA2', 'CXCR1', 'CXCL8', 'TLR4', 'CXCR2', 'AKT1', 'PI3', 'EGFR', 'IL6', 'VEGFA', 'TP53', 'MAPK1', 'TH', 'CD4', 'MMP9', 'CDKN1A', 'PTGS2', 'STAT3', 'CISH', 'MMP2', 'PIK3CA', 'PIK3CA', 'PTS', 'MTOR', 'RHO', 'EGF', 'ABCB1', 'CD44', 'CD44', 'TCEAL1', 'CCK', 'PSMB6', 'CREBBP', 'PPIB', 'KIT', 'TG', 'PTEN', 'PTEN']"
CYTOKINE AND CHEMOKINE MEDIATED SIGNALING PATHWAY,41,"['TGFB1', 'TNFRSF1A', 'TNF', 'IL1B', 'IL1B', 'IL1B', 'CXCL8', 'CCL2', 'CCL2', 'IFNA1', 'AKT1', 'TIMP1', 'IL2', 'IL4', 'IL5', 'PRTN3', 'NOS2', 'IL6', 'IL6', 'VEGFA', 'TP53', 'CD4', 'FOS', 'POMC', 'MMP9', 'CDKN1A', 'RELA', 'PTGS2', 'STAT3', 'STAT3', 'STAT3', 'IL10', 'MMP2', 'PIK3CA', 'CASP3', 'BCL2', 'CCND1', 'ITGAM', 'CRK', 'KIT', 'HIF1A']"
CELL ACTIVATION,40,"['TNF', 'CA2', 'CXCL8', 'TLR4', 'INS', 'CCL2', 'SLURP1', 'AHSA1', 'TIMP1', 'IL2', 'IL4', 'IL5', 'CRP', 'NOD2', 'NOS2', 'NLRP3', 'IL6', 'VEGFA', 'TP53', 'TH', 'CD4', 'FOS', 'POMC', 'MAPK8', 'RELA', 'BAX', 'STAT3', 'IL10', 'WDTC1', 'PIK3CA', 'CASP3', 'BCL2', 'ITGAM', 'CD40', 'PSMB6', 'CTLA4', 'CREBBP', 'PPIB', 'IFNG', 'KIT']"
WOUND HEALING,40,"['TNF', 'TLR4', 'INS', 'INS', 'PTH', 'GSN', 'TIMP1', 'IL2', 'IL4', 'IL5', 'REN', 'EGFR', 'EGFR', 'NOS2', 'SMAD3', 'NLRP3', 'IL6', 'VEGFA', 'TH', 'CD4', 'MMP9', 'PTGS2', 'STAT3', 'IL10', 'CISH', 'PIK3CA', 'CASP3', 'MTOR', 'MTOR', 'EGF', 'PPARA', 'HGS', 'ITGAM', 'CCK', 'CREBBP', 'PPIB', 'BBS9', 'PGR', 'HIF1A', 'TG']"
PEROXISOME DIVISION,39,"['CFTR', 'TGFB1', 'TNF', 'TLR4', 'INS', 'FAS', 'CCL2', 'CAT', 'IFNA1', 'AKT1', 'AHSA1', 'C3', 'EGFR', 'PPARG', 'NOD2', 'NOS2', 'NLRP3', 'TP53', 'MAPK1', 'FOS', 'POMC', 'MAPK8', 'RELA', 'PTGS2', 'STAT3', 'WDTC1', 'CISH', 'PIK3CA', 'BCL2', 'MTOR', 'EGF', 'PPARA', 'HGS', 'GRK2', 'PSMB6', 'CTLA4', 'CREBBP', 'PPIB', 'TG']"
SENSITIZATION,39,"['TNF', 'CA2', 'CXCL8', 'LEP', 'TLR4', 'INS', 'CCL2', 'IFNA1', 'SLURP1', 'AHSA1', 'IL4', 'IL5', 'NR3C1', 'TTR', 'C3', 'REN', 'LY96', 'NOD2', 'IL6', 'TP53', 'MAPK1', 'TH', 'CD4', 'FOS', 'AR', 'CDKN1A', 'STAT3', 'IL10', 'MAPK3', 'HGS', 'ITGAM', 'AHR', 'TCEAL1', 'PSMB6', 'CTLA4', 'PPIB', 'BBS9', 'KIT', 'TG']"
CHEMOATTRACTION,38,"['TGFB1', 'CAMP', 'SCNN1B', 'TNF', 'CA2', 'CXCL8', 'INS', 'CCL2', 'IFNA1', 'DEFB4A', 'CXCR2', 'SERPINA1', 'AHSA1', 'MPO', 'IL2', 'IL4', 'IL5', 'PI3', 'C3', 'CRP', 'EGFR', 'ALB', 'NOD2', 'IL6', 'VEGFA', 'TH', 'CD4', 'MAPK8', 'IL10', 'PIK3CA', 'RHO', 'EGF', 'ITGAM', 'CTLA4', 'PPIB', 'KIT', 'TG', 'PTEN']"
MAST CELL ACTIVATION,38,"['TNF', 'CA2', 'CXCL8', 'TLR4', 'INS', 'FAS', 'CCL2', 'IFNA1', 'AKT1', 'CTSG', 'AHSA1', 'IL4', 'IL5', 'TTR', 'PI3', 'C3', 'SLC12A2', 'NOD2', 'F2', 'NOS2', 'IL6', 'TP53', 'MAPK1', 'TH', 'CD4', 'POMC', 'MMP9', 'MAPK8', 'RELA', 'IL10', 'CISH', 'PIK3CA', 'HGS', 'CTLA4', 'SLC17A5', 'PPIB', 'KIT', 'TG']"
ACTIVATION OF GENE-SPECIFIC TRANSCRIPTION,36,"['TGFB1', 'TGFB1', 'TNF', 'IL1B', 'AKT1', 'IL4', 'IL4', 'IL5', 'EGFR', 'PPARG', 'PPARG', 'SMAD3', 'IL6', 'IL6', 'TP53', 'TP53', 'MAPK1', 'CD4', 'FOS', 'FOS', 'AR', 'ESR1', 'RELA', 'RELA', 'STAT3', 'STAT3', 'IL10', 'IL10', 'EGF', 'PPARA', 'AHR', 'CREBBP', 'CREBBP', 'PPIB', 'HIF1A', 'HIF1A']"
T CELL ACTIVATION,35,"['ELANE', 'TNF', 'CA2', 'CXCL8', 'TLR4', 'FAS', 'IFNA1', 'CD8A', 'CD8A', 'AHSA1', 'IL2', 'IL4', 'IL4', 'IL5', 'PI3', 'SLC26A4', 'NOD2', 'NOS2', 'SMAD3', 'IL6', 'TH', 'CD4', 'CD4', 'STAT3', 'IL10', 'PIK3CA', 'CD40', 'CD44', 'CD44', 'GC', 'CTLA4', 'CREBBP', 'PPIB', 'IFNG', 'TG']"
ACTIVATION OF NF-KAPPAB,35,"['TNF', 'TNF', 'TNF', 'TNF', 'TNF', 'IL1B', 'TLR4', 'TLR4', 'TLR4', 'INS', 'CAT', 'CAT', 'AKT1', 'AHSA1', 'NOD2', 'NOD2', 'NOD2', 'NLRP3', 'NLRP3', 'IL6', 'IL6', 'MAPK1', 'FOS', 'AR', 'MAPK8', 'RELA', 'RELA', 'RELA', 'PTGS2', 'STAT3', 'PIK3CA', 'CD40', 'CD40', 'PPIB', 'HIF1A']"
EXCRETION,34,"['TGFB1', 'SCNN1B', 'SCNN1G', 'SLPI', 'TNF', 'INS', 'FAS', 'CAT', 'PTH', 'SLC26A3', 'ATP12A', 'IL4', 'IL5', 'TTR', 'CRP', 'REN', 'EGFR', 'ALB', 'NOD2', 'F2', 'NLRP3', 'TH', 'POMC', 'CISH', 'MUC7', 'CP', 'ABCB1', 'HGS', 'GC', 'CTLA4', 'SLC17A5', 'PPIB', 'BBS9', 'TG']"
LEARNING,34,"['ELANE', 'TNF', 'INS', 'BPI', 'SLURP1', 'SCT', 'NR3C1', 'DNAH5', 'SLC26A4', 'REN', 'NOD2', 'NOS2', 'IL6', 'MAPK1', 'TH', 'TH', 'CD4', 'POMC', 'AR', 'PTGS2', 'STAT3', 'IL10', 'CISH', 'PTS', 'CASP3', 'SST', 'GC', 'PSMB6', 'CTLA4', 'CREBBP', 'SLC17A5', 'PPIB', 'PGR', 'TG']"
RESPONSE TO ENDOTOXIN,34,"['ELANE', 'SLPI', 'TNF', 'IL1B', 'CXCL8', 'TLR4', 'TLR4', 'TLR4', 'TLR5', 'CCL2', 'IFNA1', 'AKT1', 'AHSA1', 'MPO', 'MPO', 'IL4', 'REN', 'LY96', 'NOD2', 'NOS2', 'NOS2', 'IL6', 'TH', 'TH', 'FOS', 'PTGS2', 'PTGS2', 'IL10', 'PIK3CA', 'CASP3', 'ITGAM', 'CTLA4', 'PPIB', 'APOB']"
PHAGOCYTOSIS,33,"['ELANE', 'ELANE', 'TNF', 'LEP', 'TLR4', 'TLR4', 'INS', 'CAT', 'IFNA1', 'CXCR2', 'AKT1', 'CTSG', 'AHSA1', 'PRTN3', 'PI3', 'C3', 'CRP', 'NOD2', 'IL6', 'TH', 'CD4', 'MMP9', 'MAPK8', 'IL10', 'PIK3CA', 'MAPK3', 'PTS', 'CP', 'RHO', 'HGS', 'ITGAM', 'CTLA4', 'PPIB']"
REGENERATION,33,"['TNF', 'IL1B', 'CA2', 'CXCL8', 'INS', 'FAS', 'IFNA1', 'HP', 'AKT1', 'IL4', 'IL5', 'NR3C1', 'TTR', 'C3', 'SLC26A4', 'EGFR', 'IL6', 'VEGFA', 'TP53', 'MAPK1', 'TH', 'FOS', 'IL10', 'WDTC1', 'MMP2', 'MAPK3', 'BCL2', 'MTOR', 'EGF', 'G6PD', 'HGS', 'PSMB6', 'PPIB']"
REVERSE TRANSCRIPTION,32,"['TGFB1', 'TNF', 'IL1B', 'CXCL8', 'CCL2', 'CAT', 'IFNA1', 'TTR', 'REN', 'PPARG', 'NOD2', 'F2', 'NOS2', 'IL6', 'TH', 'CD4', 'CDKN1A', 'WDTC1', 'CP', 'RHO', 'CCND1', 'ITGAM', 'TCEAL1', 'GC', 'PSMB6', 'CTLA4', 'CREBBP', 'SLC17A5', 'PPIB', 'BBS9', 'PGR', 'PTEN']"
APOPTOSIS ACTIVATOR ACTIVITY,32,"['TNF', 'IL1B', 'CA2', 'FAS', 'FAS', 'DNASE1', 'MAL', 'NR3C1', 'C3', 'NLRP3', 'MAPK1', 'MAPK8', 'CDKN1A', 'BAX', 'BAX', 'BAX', 'BAX', 'PIK3CA', 'MAPK3', 'CASP3', 'CASP3', 'CASP3', 'BCL2', 'BCL2', 'MTOR', 'HGS', 'AHR', 'GC', 'PSMB6', 'PPIB', 'IFNG', 'PTEN']"
LIPID METABOLIC PROCESS,32,"['TNF', 'IL1B', 'LEP', 'LEP', 'INS', 'FAS', 'CCL2', 'SERPINA1', 'AKT1', 'IL5', 'C3', 'CRP', 'REN', 'PPARG', 'PPARG', 'ALB', 'NLRP3', 'IL6', 'TP53', 'TH', 'PTGS2', 'CYP3A4', 'MUC7', 'PPARA', 'PPARA', 'G6PD', 'HGS', 'CREBBP', 'PPIB', 'APOB', 'CRK', 'TG']"
CELLULAR GLUCOSE METABOLIC PROCESS,32,"['TNF', 'CA2', 'LEP', 'LEP', 'INS', 'INS', 'FAS', 'AKT1', 'AKT1', 'MAL', 'NR3C1', 'TTR', 'SLC26A4', 'EGFR', 'TP53', 'MAPK1', 'TH', 'STAT3', 'WDTC1', 'MUC7', 'PIK3CA', 'PIK3CA', 'BCL2', 'MTOR', 'G6PD', 'G6PD', 'GC', 'PSMB6', 'SLC17A5', 'PPIB', 'HIF1A', 'TG']"
CASPASE-INDEPENDENT APOPTOSIS,31,"['CFTR', 'ELANE', 'TNF', 'CAT', 'IFNA1', 'AKT1', 'IL4', 'IL5', 'NR3C1', 'TTR', 'DNAH5', 'SLC26A4', 'EGFR', 'NOD2', 'NLRP3', 'IL6', 'TP53', 'CD4', 'FOS', 'CDKN1A', 'BAX', 'IL10', 'PIK3CA', 'MAPK3', 'CP', 'CASP3', 'CCND1', 'CTLA4', 'CREBBP', 'SLC17A5', 'PPIB']"
ACTIVATION OF MAP KINASE,31,"['TNF', 'TNF', 'IL1B', 'CXCL8', 'TLR4', 'TLR4', 'IFNA1', 'AKT1', 'AHSA1', 'SLC26A4', 'EGFR', 'NOD2', 'IL6', 'TP53', 'MAPK1', 'MAPK1', 'TH', 'SOD1', 'PTGS2', 'IL10', 'PIK3CA', 'MAPK3', 'MAPK3', 'RHO', 'EGF', 'CD44', 'GC', 'PSMB6', 'PPIB', 'KIT', 'PTEN']"
SIGNAL TRANSDUCTION,31,"['IL1B', 'CXCL8', 'FAS', 'CCL2', 'CXCR2', 'AKT1', 'NR3C1', 'TTR', 'C3', 'GUCY2C', 'FAM13A', 'EGFR', 'EGFR', 'PPARG', 'ANXA5', 'NLRP3', 'MAPK1', 'CD4', 'POMC', 'AR', 'ESR1', 'STAT3', 'GPI', 'EGF', 'HGS', 'CCK', 'CREBBP', 'PGR', 'KIT', 'HIF1A', 'TG']"
POSITIVE REGULATION OF CELL POPULATION PROLIFERATION,30,"['TGFB1', 'TGFB1', 'IL1B', 'INS', 'CXCR2', 'VIP', 'AKT1', 'TIMP1', 'IL2', 'IL4', 'IL4', 'PRTN3', 'EGFR', 'EGFR', 'EGFR', 'F2', 'IL6', 'IL6', 'IL6', 'VEGFA', 'VEGFA', 'AR', 'RELA', 'BCL2', 'EGF', 'CCK', 'PPIB', 'IFNG', 'KIT', 'PTEN']"
MAP KINASE CASCADE,29,"['TGFB1', 'TNF', 'TNF', 'IL1B', 'LEP', 'CCL2', 'AKT1', 'AHSA1', 'IL2', 'IL5', 'IL5', 'PI3', 'EGFR', 'EGFR', 'VEGFA', 'MAPK1', 'MAPK1', 'TH', 'FOS', 'MAPK8', 'PIK3CA', 'MAPK3', 'MAPK3', 'MAPK3', 'EGF', 'PSMB6', 'CREBBP', 'PPIB', 'KIT']"
ANTIGEN PRESENTATION,29,"['TNF', 'IL1B', 'TLR4', 'FAS', 'IFNA1', 'CD8A', 'AKT1', 'SLURP1', 'HFE', 'AHSA1', 'IL2', 'IL4', 'IL5', 'NOD2', 'IL6', 'TP53', 'MAPK1', 'TH', 'CD4', 'MAPK8', 'IL10', 'PIK3CA', 'MTOR', 'CD40', 'PSMB6', 'CTLA4', 'PPIB', 'KIT', 'PTEN']"
PHOSPHATIDYLINOSITOL 3-KINASE CASCADE,29,"['TNF', 'CA2', 'LEP', 'TLR4', 'CAT', 'AKT1', 'AKT1', 'SLURP1', 'PI3', 'C3', 'EGFR', 'IL6', 'MAPK1', 'POMC', 'AR', 'PTGS2', 'WDTC1', 'CISH', 'PIK3CA', 'PIK3CA', 'MAPK3', 'BCL2', 'MTOR', 'CD44', 'PSMB6', 'PPIB', 'KIT', 'PTEN', 'PTEN']"
ACQUIRED IMMUNE RESPONSE,28,"['TNF', 'TLR5', 'IFNA1', 'IFNA1', 'SLURP1', 'IL2', 'IL2', 'IL4', 'IL5', 'NOD2', 'NLRP3', 'IL6', 'TH', 'CD4', 'CD4', 'RELA', 'IL10', 'MCOLN1', 'CP', 'ITGAM', 'CD40', 'AHR', 'CTLA4', 'CTLA4', 'PPIB', 'IFNG', 'BBS9', 'KIT']"
ENDOCYTIC IMPORT INTO CELL,27,"['CAMP', 'TNF', 'CA2', 'TLR4', 'CAT', 'IFNA1', 'DEFB4A', 'AKT1', 'AHSA1', 'EGFR', 'NOD2', 'TP53', 'CD4', 'MAPK8', 'CISH', 'MAPK3', 'GPI', 'RHO', 'EGF', 'ABCB1', 'GC', 'PSMB6', 'CTLA4', 'CREBBP', 'PPIB', 'KIT', 'TG']"
FERMENTATION,27,"['ELANE', 'TNF', 'TLR4', 'INS', 'FAS', 'CAT', 'ATP12A', 'NR3C1', 'PI3', 'C3', 'LPO', 'ABCC8', 'NLRP3', 'IL6', 'TH', 'MAPK8', 'IL10', 'WDTC1', 'CP', 'HGS', 'AHR', 'GC', 'PSMB6', 'CREBBP', 'SLC17A5', 'PPIB', 'ACE']"
CELL DEVELOPMENT,27,"['TLR4', 'INS', 'IFNA1', 'AKT1', 'TIMP1', 'IL2', 'IL4', 'IL5', 'PI3', 'NOD2', 'IL6', 'MAPK1', 'TH', 'CD4', 'STAT3', 'IL10', 'PIK3CA', 'CD40', 'AHR', 'CD44', 'PSMB6', 'CTLA4', 'CREBBP', 'SLC17A5', 'PPIB', 'BBS9', 'KIT']"
PROTEIN AMINO ACID PHOSPHORYLATION,26,"['TGFB1', 'TNF', 'CXCL8', 'CCL2', 'AKT1', 'CTSG', 'AHSA1', 'GUCY2C', 'SLC12A2', 'EGFR', 'IL6', 'MAPK1', 'MAPK1', 'MAPK1', 'MAPK8', 'MAPK8', 'MAPK8', 'STAT3', 'PIK3CA', 'MAPK3', 'MTOR', 'MTOR', 'MTOR', 'RHO', 'CCND1', 'CCND1']"
DOWN REGULATION OF GLOBAL TRANSCRIPTION FROM RNA POLYMERASE II PROMOTER,26,"['ELANE', 'TNF', 'LEP', 'NR3C1', 'NR3C1', 'PPARG', 'PPARG', 'PPARG', 'SMAD3', 'SMAD3', 'SMAD3', 'SMAD3', 'VEGFA', 'TP53', 'AR', 'ESR1', 'RELA', 'RELA', 'STAT3', 'WDTC1', 'CCND1', 'PPARA', 'PPARA', 'AHR', 'CREBBP', 'IFNG']"
CLOTTING,26,"['SLPI', 'TNF', 'INS', 'SERPINA1', 'AKT1', 'AHSA1', 'IL2', 'IL4', 'TTR', 'C3', 'CRP', 'NOD2', 'IL6', 'MAPK1', 'POMC', 'MAPK8', 'IL10', 'CISH', 'PIK3CA', 'PTS', 'HGS', 'CTLA4', 'CREBBP', 'PPIB', 'PGR', 'PTEN']"
CHROMOSOMAL PAIRING,26,"['TNF', 'CA2', 'INS', 'CAT', 'IFNA1', 'AKT1', 'SLURP1', 'IL4', 'C3', 'NOD2', 'MAPK1', 'TH', 'CD4', 'POMC', 'AR', 'MAPK8', 'CDKN1A', 'WDTC1', 'PIK3CA', 'CASP3', 'MTOR', 'ITGAM', 'TCEAL1', 'PSMB6', 'CTLA4', 'PPIB']"
IL-6 PRODUCTION,26,"['TNF', 'IL1B', 'CXCL8', 'LEP', 'TLR4', 'IFNA1', 'AHSA1', 'ATP12A', 'CRP', 'ALB', 'NOD2', 'NOS2', 'NOS2', 'IL6', 'MAPK1', 'TH', 'CD4', 'FOS', 'STAT3', 'IL10', 'PIK3CA', 'AHR', 'GC', 'CTLA4', 'PPIB', 'PTEN']"
DIAPAUSE,26,"['MUC5B', 'LEP', 'INS', 'CAT', 'SLURP1', 'IL5', 'LPO', 'SLC26A4', 'REN', 'PPARG', 'ABCC8', 'NLRP3', 'IL6', 'TH', 'FOS', 'AR', 'CISH', 'CASP3', 'MTOR', 'HGS', 'PSMB6', 'CREBBP', 'SLC17A5', 'PPIB', 'HIF1A', 'TG']"
G PROTEIN COUPLED RECEPTOR PROTEIN SIGNALING PATHWAY,25,"['CXCR1', 'CXCL8', 'INS', 'CCL2', 'PTH', 'DEFB1', 'DEFB4A', 'CXCR2', 'VIP', 'AKT1', 'SCT', 'C3', 'PPARG', 'F2', 'P2RY2', 'POMC', 'PIK3CA', 'RHO', 'RHO', 'RHO', 'SST', 'CCK', 'GRK2', 'PPIB', 'PTEN']"
CALCIUM ION SIGNALING,25,"['CXCR1', 'CXCL8', 'ANO1', 'INS', 'CXCR2', 'AKT1', 'AHSA1', 'IL2', 'IL4', 'EGFR', 'IL6', 'MAPK1', 'TH', 'FOS', 'MAPK8', 'IL10', 'PIK3CA', 'MAPK3', 'MCOLN1', 'BCL2', 'EGF', 'CD44', 'PSMB6', 'PPIB', 'PTEN']"
HYPERSENSITIVITY,24,"['TGFB1', 'TNF', 'INS', 'FAS', 'IFNA1', 'HP', 'IL2', 'IL4', 'IL5', 'REN', 'NOD2', 'F2', 'MAPK1', 'TH', 'CD4', 'RELA', 'IL10', 'WDTC1', 'PIK3CA', 'RHO', 'HGS', 'CTLA4', 'PPIB', 'IFNG']"
CYTOKINE SECRETION,24,"['TNF', 'IL1B', 'CA2', 'CXCL8', 'TLR4', 'TLR5', 'CCL2', 'IFNA1', 'IL2', 'IL4', 'IL5', 'NR3C1', 'NOD2', 'IL6', 'TH', 'CD4', 'RELA', 'STAT3', 'IL10', 'MTOR', 'RHO', 'CTLA4', 'PPIB', 'PTEN']"
CELLULAR DNA DAMAGE RESPONSE,24,"['AKT1', 'AKT1', 'SLURP1', 'IL6', 'TP53', 'TP53', 'TP53', 'MAPK1', 'AR', 'CDKN1A', 'CDKN1A', 'STAT3', 'WDTC1', 'PIK3CA', 'CASP3', 'BCL2', 'MTOR', 'CCND1', 'CCND1', 'HGS', 'CTLA4', 'CREBBP', 'PPIB', 'PTEN']"
